Title,Date,Time,Room,Overview,Speakers,Moderator,Category,CE_Credits,Primary_Community,Learning_Objectives
Effective Documentation in Correctional Mental Health: Best Practices and Strategies,"Saturday, August 23, 2025",1:00 pm – 2:30 pm,Room 105,,,,,ΨCE|CE|CME|CEU,Adult Corrections/Prisons & Jails,
________________,,,,,,,,,,
Emerging Trends in Correctional Healthcare,"Saturday, August 23, 2025",1:00 pm – 2:30 pm,Room 107,,,,,CE|CME|CERP,Adult Corrections,
________________,,,,,,,,,,
"From Treatment to Transformation: Hepatitis C Treatment, Peer Education, and the ECHO Model in Corrections",,,,,,,,CE|CME,,
________________,,,,,,,,,,
What Would You Do: Ethical Considerations for the Correctional Nurse,"Saturday, August 23, 2025",1:00 pm – 2:30 pm,Room 111,,,,,CE,Adult Corrections,
________________,,,,,,,,,,
"Operational, Clinical, and Public Health Strategies in Management of a Botulism Outbreak in a Large, Medium-Security Prison Setting","Saturday, August 23, 2025",3:00 pm – 4:30 pm,Room 105,,,,,CE|CME|CERP,Adult Corrections,
________________,,,,,,,,,,
Dementia in the Incarcerated Population: An Overview of Present and Future Treatment and Management,,,,,,,,ΨCE|CE|CME|CERP|CEU,Adult Corrections,
________________,,,,,,,,,,
End of Life Care in the Correctional Setting,"Saturday, August 23, 2025",3:00 pm – 4:30 pm,Room 109,,,,,CE|CME|CERP|CEU,Prisons & Jails,
________________,,,,,,,,,,
Medical Effects of K2 and Synthetic Drugs: Not Your Grandfather's Marijuana,"Saturday, August 23, 2025",3:00 pm – 4:30 pm,Room 111,,,,,CE|CME|CERP|CEU,Adult Corrections,
________________,,,,,,,,,,
Clinical Skills for Assessing Suicide and Self Harm,"Sunday, August 24, 2025",8:00 am – 9:30 am,Room 105,,,,,ΨCE|CE|CEU,Adult Corrections,
________________,,,,,,,,,,
Oral Health Considerations in Substance Use Disorder Treatment in Correctional Setting,"Sunday, August 24, 2025",8:00 am – 9:30 am,Room 107,,,,,CE|CME|CERP|CEU,Prisons & Jails,
________________,,,,,,,,,,
Community Corrections Alternative Program: An Evidence-Based Alternative to Incarceration for Those with Substance Use Disorder,"Sunday, August 24, 2025",8:00 am – 9:30 am,Room 109,,,,,CE|CEU,Community Corrections,
________________,,,,,,,,,,
Remarkably Resilient Together®: Empowering Healing from Trauma Through Learning and Skill Building Inside a Kansas Women's Prison,"Sunday, August 24, 2025",8:00 am – 9:30 am,Room 111,,,,,CE|CEU,Prisons & Jails,
________________,"Sunday, August 24, 2025",10:00 am – 11:30 am,Room 105,"The Correctional Behavioral Health Certification (CBHC) is one of the most successful professional certifications offered by the American Correctional Association. It has become a prestigious recognition of corrections staff who have demonstrated knowledge and skills associated with the provision of behavioral health services for mentally ill inmates or offenders. Providing a national standardized certification that validates capability in working with mentally ill offenders and improves ability to compete in the job market, Correctional Officers, Community Corrections Officers and Allied Behavioral Health in jails and prisons throughout the United States have been awarded the CBHC. Don’t miss this opportunity to learn how you and staff in your jurisdiction can improve management of mentally ill inmates or offenders and enhance their professional standing as corrections professionals.","Terri Catlett, Director of Correctional Health, American Correctional Association, Alexandria; Dean Aufderheide, Ph.D., Director of Mental Health, American Correctional Association; Tony Wilkes, Chief of Corrections (Retired), Davidson County Sheriff’s Office, Henderson","Terri Catlett, Director of Correctional Health, American Correctional Association, Alexandria",,,Adult Corrections,". Participants will be able to explain the benefit of obtaining the Correctional Behavioral Health Certification.; . Participants will be able to identify the eligibility criteria for achieving the Correctional Behavioral Health Certification.; . Participants will be able to explain the Correctional Behavioral Health Certification process."
ACA Project ECHO—Year 1 in Review,"Sunday, August 24, 2025",10:00 am – 11:30 am,Room 107,,,,,CE|CME,Adult Corrections,
________________,,,,,,,,,,
Developing an Inmate Volunteer Caregiver Program within the Prison System to Assist the Terminally Ill and Geriatric Populations,"Sunday, August 24, 2025",10:00 am – 11:30 am,Room 109,,,,,CE|CEU,Adult Corrections,
________________,,,,,,,,,,
Mental Health Emergencies and Medical Mimicry,"Sunday, August 24, 2025",10:00 am – 11:30 am,Room 111,,,,,ΨCE|CE|CME,Adult Corrections|Prisons,
________________,,,,,,,,,,
Breaking Bad: Why Good Staff Do Bad Things,"Sunday, August 24, 2025",1:00 pm – 2:30 pm,Room 105,,,,,ΨCE|CE|CERP|CEU,Adult Corrections,
________________,,,,,,,,,,
Containment and Prevention of Addictions in Queretaro's Penitentiary Centers,"Sunday, August 24, 2025",1:00 pm – 2:30 pm,Room 107,,,,,CE|CEU,Adult Corrections,
________________,,,,,,,,,,
Correctional Clinical Updates,"Sunday, August 24, 2025",1:00 pm – 2:30 pm,Room 109,,,,,CE|CME,Adult Corrections,
________________,,,,,,,,,,
Manufacturer Patient Assistance Programs in the Correctional Setting: A Tool to Potentially Reduce Medication Expenditures,"Sunday, August 24, 2025",1:00 pm – 2:30 pm,Room 111,,,,,CE|CME,Adult Corrections|Prisons,
________________,,,,,,,,,,
Insights into the Florida Department of Correction's Residential Continuum of Care Units: An innovative Approach to Treating Diverse Populations,"Sunday, August 24, 2025",3:00 pm – 4:30 pm,Room 105,,,,,CE|CEU,Adult Corrections|Prisons,
________________,,,,,,,,,,
Leveraging CCBHCs to Support Justice-Involved Individuals: Enhancing Collaboration and Outcomes,"Sunday, August 24, 2025",3:00 pm – 4:30 pm,Room 107,,,,,CE|CEU,Adult Corrections,
________________,"Sunday, August 24, 2025",3:00 pm – 4:30 pm,Room 109,"The Nebraska Department of Correctional Services in collaboration with Dr. Carrie Pettus and Wellbeing and Equity Innovations, Inc. has implemented TRANSFORM Nebraska and the 5-Key Model for Reentry and Well-Being Development. This presentation will discuss the impact of the 5-Key Model within Nebraska state prisons. Discussion will include an explanation of associated programming, model principles and tools, and the inclusion of peer facilitators. The 5-Key Model moves the practice of corrections away from deficit-focused models and refocuses rehabilitative services on the individual’s strengths and psychological being to improve overall public health and safety.","Dawn-Renee Smith, Deputy Director – Rehabilitative Services, Nebraska Department of Correctional Services, Lincoln; Carrie Pettus, Ph.D., MSW, President & CEO","Dawn-Renee Smith, Deputy Director – Rehabilitative Services, Nebraska Department of Correctional Services, Lincoln",,,Adult Corrections,". At the conclusion of this session, participants will have knowledge o the 5-Keys for Reentry and Wellbeing Development Model; to include model overview, definitions, history, and research.; . At the conclusion of this session, participants will be able to identify the benefits of strength-based rehabilitation models compared to standard deficit-based correctional models.; . At the conclusion of this session, participants will be able to articulate the importance and benefit of peer involvement on the creation of a correctional environment supportive of transformational change."
Verbal Jujitsu: How to Manage Difficult Encounters With Patients,"Sunday, August 24, 2025",3:00 pm – 4:30 pm,Room 111,,,,,CE|CERP,Adult Corrections,
________________,,,,,,,,,,
ADHD: Lacking Focus in Corrections,"Monday, August 25, 2025",8:00 am – 9:30 am,Room 105,,,,,ΨCE|CE|CME,Adult Corrections|Jails|Prisons,
________________,,,,,,,,,,
Advancing Carceral Health: Improving the Reentry Experience through Cross Sector Collaborations,"Monday, August 25, 2025",8:00 am – 9:30 am,Room 107,,,,,CE|CME|CERP|CEU,Adult Corrections,
________________,,,,,,,,,,
Innovative and Advanced Wound Care Therapy in the Correctional Health Environment,"Monday, August 25, 2025",8:00 am – 9:30 am,Room 109,,,,,CE|CME,Adult Corrections,
________________,,,,,,,,,,
Providing MAT in the Regular Medline: Removing Barriers and Optimizing Patient Care,,,,,,,,CE|CME|CEU,Prisons & Jails,
________________,,,,,,,,,,
Optimizing Reentry: A Tale of Two States. How to Reduce Recidivism among Individuals Releasing from Jails and Prisons,"Monday, August 25, 2025",10:00 am – 11:30 am,Room 105,,,,,CE|CME|CERP|CEU,Adult Corrections,
________________,,,,,,,,,,
Continuum of Care in the Virginia Department of Corrections to Reduce Placement of Vulnerable Populations in RHU,"Monday, August 25, 2025",10:00 am – 11:30 am,Room 107,,,,,CE|CEU,Adult Corrections/Prisons/Prisons & Jails,
________________,,,,,,,,,,
How to Successfully Defend a Constitutional Challenge to Restrictive Housing: Legal and Clinical Issues,"Monday, August 25, 2025",10:00 am – 11:30 am,Room 109,,,,,ΨCE|CE|CEU,Adult Corrections|Prisons|Prisons & Jails,
________________,,,,,,,,,,
"Integrating Medicine, Psychiatry, and Nursing to Manage High-Risk Behaviors and Legal Risk in Correctional Facilities","Monday, August 25, 2025",10:00 am – 11:30 am,Room 111,,,,,CE|CME|CEU,Adult Corrections|Jails|Prisons|Jails & Prisons,
________________,,,,,,,,,,
Development of a Hunger Strike Consultation Team,"Monday, August 25, 2025",2:00 pm – 3:30 pm,Room 105,,,,,CE|CME|CEU,Adult Corrections,
________________,,,,,,,,,,
Holistic Safety: How We Can Reimagine Our Approach Toward Safety in Corrections,"Monday, August 25, 2025",2:00 pm – 3:30 pm,Room 107,,,,,CE,Prisons & Jails,
________________,,,,,,,,,,
Crisis Response Intervention Training for Critical Incidents: Designing Your Model for Success,"Monday, August 25, 2025",2:00 pm – 3:30 pm,Room 109,,,,,CE,Prisons & Jails,
"Speaker 1 (POC): David Randall, M.B.A., Behavioral Health Administrator, American Correctional Association, Alexandria, Virginia",,,,,"Dean Aufderheide, Ph.D., Director of Mental Health, American Correctional Association",,,,,
Leveraging Partnerships to Implement Medication for Addiction Treatment (MAT) for Incarcerated Individuals,"Monday, August 25, 2025",2:00 pm – 3:30 pm,Room 111,,,,,CE|CEU,Prisons & Jails,
________________,,,,,,,,,,
"A Shared Allied Approach to Housing Mental Health, Medical, and Otherwise Vulnerable Populations in General Population","Monday, August 25, 2025",4:00 pm – 5:30 pm,Room 105,,,,,CE|CEU,Adult Corrections,
________________,,,,,,,,,,
